abandon   v.放弃
ability    n. 能力； 才能 
able     a. 能够；有能力的
abnormal    a. 不正常的 
aboard    ad.在船、飞机上
abolish    v.废除
about     ad. 大约；到处；四处
above    prep. 在……上面
abroad    ad. 到（在）国外 
absence   n. 不在，缺席 
absent    a. 缺席， 不在 
absolute   a.完全的
absorb    v. 吸收
abstract   a.抽象的
absurd   a.荒谬的
abundant  a.丰富的，充裕的
abuse    v.滥用。虐待
academic  a.学院的，学术的
academy   n.专科院校，学会
accelerate    v.加速，促进
accent     n. 口音，音调 
accept     vt. 接受
access   n.通道，入门，接近
accident    n. 事故，意外的事 
accommodation   n.住处
accompany     v.陪伴，伴奏
accomplish    v.完成
according .    按照， 根据
accumulate   v.积聚，堆积
accurate    a.正确的，精确的
accuse      v. 控告
accustomed   n. 习惯的
account     n. 账目；描述 
ache    vi.& n. 痛，疼痛 
achieve   vt. 达到，取得 
acid     a.酸的
acknowledge  v. 承认
acquire   v. 获得，学到
across    prep. 横过，穿过 
act    n. 法令，条例 v. （戏）表演
action   n. 行动 
active   a. 积极的，主动的 
activity  n. 活动
actor   n. 男演员
actress   n. 女演员
actual   a. 实际的； 现实的 
AD    n. 公元 
advertisement  n.广告 
adapt  v . 适应，改编
add   vt.添加，增加 
addicted  a.上瘾的，入迷的
addition   n. 增加；（算数用语）加 
address   n. 地址 
adequate   a.适当的，足够的
adjust    v.调整，使。。适合 
adjustment  n. 调节，调节器
administration   n. 管理，经营
admire    v. 钦佩； 羡慕 
admirable   a.令人敬佩的
admission   n. 准入, 接纳 
admit     vt. 承认，准许
adolescence  n.青春期
adopt   v.采用，收养
adore  v.崇拜，爱慕
adult    n. 成年人 
advance   v. 推进，促进；前进 
advantage   n. 优点； 好处 
adventure   n. 冒险； 奇遇 
advertise   vt. 为……做广告 
advertisement   n. 广告 
advice    n. 忠告，劝告，建议 
advise   vt. 忠告，劝告，建议 
advocate  v.提倡，鼓吹
affair    n. 事，事情 
affect    vt. 影响 
afford    vt. 负担得起
afraid    a. 害怕的；担心 
Africa    n. 非洲
African   a. 非洲的，非洲人的 
after    ad. 在后；后来 
afterwards   ad. 后来 
again   ad. 再一次；再，又 
against   prep. 对着，反对 
age     n. 年龄；时代 
agency  n.代理处
agent   n.代理商
aggression   n. 侵略 
aggressive   a. 侵略的；咄咄逼人的 
ago   ad. 以前 
agree   v. 同意；应允 
agreement   n. 同意，一致；协定
agricultural   a. 农业的 
agriculture   n. 农业，农学 
ahead    ad. 在前，向前 
aid    n. 援助；救护；辅助器
aim   n.目的；目标 v. 计划，
air    n. 空气；大气 
aircraft   n. 飞机 (单复数同) 
airline    n. 航空公司；航空系统 
airmail   n. 航空邮件 
airplane   n. （美）飞机 
airport    n. 航空站，飞机场 
alarm    n. 警报 
album  n. 集邮本，照相簿
alcohol  n. 酒，酒精
alike  a. 相同的，相似的
alive   a. 活着的，存在的 
all    ad. 全部地 a. 全（部）； 
allow   vt. 允许，准许 
allowance  n.津贴，补助
almost   ad. 几乎，差不多 
alone   a. 单独的，孤独的 
along   ad. 向前；和……一起；一同  
alongside  prep.在。。旁边
aloud    ad. 大声地 
already   ad. 已经 
also    ad. 也 
alternative  a. 交替的，轮流的
although   conj. 虽然，尽管 
altitude  n . 态度
altogether   ad. 总共 
always   ad. 总是；一直；永远 
amateur   n.业余爱好者
amaze    v.惊奇，惊叹；震惊 
ambassador   n.大使
ambition  n. 雄心，野心
ambulance   n. 救护车
America   n. 美国；美洲                      
American   a. 美国的；美国人的n. 美国人  
among  prep. 在…中间；在（三个以上）
amount  n. 数量
amuse   vt. （使人）快乐，逗乐 
amusement   n. 娱乐 
analyse   v.分析
analysis  n.分析
ancient    a. 古代的，古老的 
ancestor   n. 祖宗； 祖先 
ancient  a. 古代的，古老的
anger   n. 怒，愤怒 
angry   a. 生气的，愤怒的 
animal   n. 动物 
ankle   n.脚踝
anniversary  n.周年纪念日
announce   vt. 宣布，宣告 
announcement   n. 通告，通知 
